jobID,title,from,reason,link,company,location,date,text
3441065680,Front End React Developer,linkedin,undefined,https://il.linkedin.com/jobs/view/front-end-react-developer-at-dynamic-yield-3441065680?refId=piH0%2B67E2n6wBlKHqcLpcw%3D%3D&trackingId=JDZzvya2k14xN39QMuuRbg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Dynamic Yield,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-02-06,"Build a highly complex web application based on React Ownership of technical design of new features Lead feature development and turn beautiful mockups into rich, fully functional interfaces Stay updated and lead technological advances related to user experience At least 2 years of solid experience with React (custom hooks, Redux, Context API, etc Minimum 2 years of solid experience with TypeScript Excellent verbal and written communication skills in English A degree in Computer Science or a related discipline, or relevant army experience. Self-taught hackers are always welcome At least 2 years of experience with Vanilla JavaScript, ECMAScript, ES6+ At least 2 years of experience with NodeJS (a big plus) (Hands-on building complex APIs infrastructures & micro-services) SQL & NoSQL databases (MySQL, Redis) AWS, SaaS, & other Cloud-based services"
3483275139,Front End Engineer,linkedin,Your 2 years experience is lower than 4 years,https://il.linkedin.com/jobs/view/front-end-engineer-at-via-3483275139?refId=piH0%2B67E2n6wBlKHqcLpcw%3D%3D&trackingId=WV%2Fkhec8B9yhxqOa%2FAqjWg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Via,"Tel Aviv-Yafo, Tel Aviv District, Israel",2023-02-16,Implement new front-end tools & libraries which are used in Via's MarketPlace. Work with talented engineers to create visionary UI/UX products. Improve the user experience across Via's platform. Build SDK for Via's Marketplace repository BSc. Computer Science or similar. 4+ years of professional experience - Must. Experience with React/ Redux - Must. Strong knowledge of Javascript. Python- Advantage. Back-End development experience.
3434023321,WEB DEVELOPER,linkedin,Your 2 years experience is lower than 3 years,https://il.linkedin.com/jobs/view/web-developer-at-elbit-systems-ltd-3434023321?refId=piH0%2B67E2n6wBlKHqcLpcw%3D%3D&trackingId=%2FaZ8BJjsUgzW9ff1SuHbPA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Elbit Systems Ltd,"Holon, Tel Aviv District, Israel",2023-02-03,"Looking for a front end developerJob description: a large command and control systemPersonal skillsTeam playerA can-do attitudeCreativity and solution focused professionalism At least 3 years' experience in web technology Angular 8 + , javascript , css and HTMLOperating system – LinuxDataBase – OracleTools – Git, TFSKnowledge in Java and map tools (Mapcore) advantage
      

        

    
    
    

    
        Show more

        
    
  

        

    
    
    

    
        Show less"
26924238,מפתח Front-End,drushim,Your 2 years experience is lower than 3 years,https://www.drushim.co.il/job/26924238/e169b3e8/,- חסוי -,	Or Yehuda	,2023-01-30T10:00:29.633,"* At least 3 years of experience in web development<br/>* Full control and in-depth experience in: Html, CSS, javascript1, JQuery"
26972327,(LK) אלעד מערכות מגייסת מפתח/ת Frontend - 999536,drushim,undefined,https://www.drushim.co.il/job/26972327/4764145e/,Elad Software,Tel Aviv,2023-02-05T12:31:40.057,"Proven experience of one or two years in HTML, CSS and JAVASCRIPT - an advantage<br/>Knowledge of one of the technologies: REACT, REDUX, ANGULAR<br/>Ability to learn and work independently"
7140487,Frontend Developer - Angular,allJobs,angular is not in your stack,https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=7140487,קבוצת יעל,,undefined,"Requirements: - 2 years of experience in software development - must.- Experience in client-side development, using Angular - must.- Experience working with JavaScript - required.- Full control of HTML, CSS, - required. The position is intended for both women and men."
7171825,frontend  Developer,allJobs,c is not in your stack,https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=7171825,הורייזן טכנולוגיות,,undefined,"Requirements: All you need is...B.Sc. in Computer Science or Software Engineering from a leading institute. At least 2 years experience as a React WEB DEVELOPER, including JavaScript, HTML and CSS. Hands-on experience developing C # WinForms and WPF apps. Experience with video and audio streaming over IP Advantage Experience with cloud architecture Advantage. Experience with network and Cyber ​​security Advantage. Fluent English reading, writing, and speaking. The position is intended for both women and men."
7185198,"frontend  Developer -  HTML,CSS,JS",allJobs,undefined,https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=7185198,"ריקרוטיקס בע""מ",,undefined,"Requirements: Deep expertise and hands-on experience with Web Applications programming languages ​​such as HTML, CSS, JavaScript, JQuery 2+ years of hands-on experience in the industry. SASS or SCSS KnowledgeAdvantages Experience in website optimization Experience using JavaScript Strong understanding of UI, cross- browser compatibility, general web functions and standards. SkillsInternal Information We are an online marketing agency specializing in managing PPC campaigns for the U.K. market, Our tech department believes in a back office product - our internal product that optimizes campaign management and communication with our customers. We are looking for an FE with two years or more of experience (not just IDF experience) In his position he sat next to the web designer and together they produce complete panels for our clients, production of survey pages, product pages and creation of land The position is intended for both women and men."
7117448,לסטארט-אפ  מציל חיים  דרוש.ה Senior Frontend /Full Stack Developer,allJobs,Your 2 years experience is lower than 6 years,https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=7117448,Medulla HR,תל אביב יפו,undefined,"Requirements: 6+ years of development experience, relevant degree, experience in SAAS companies - required React/ Angular/ Vue.js - required JavaScript Ecosystem - required Node.js - required Python - required WebGL - advantage The job is intended for both women and men."
7125563,Front End Developer,allJobs,angular is not in your stack,https://www.alljobs.co.il/Search/UploadSingle.aspx?JobID=7125563,Top-IT Solutions Ltd,תל אביב יפו,undefined,Requirements: at least one year of in-depth experience in angular (version 2 and above) at the core level and its various APIs - a year's experience and in-depth understanding of css3 and at least one of the following platforms (sass/less) is required - experience and deep familiarity with rxJs is required - experience working with chrome DevTools is required - Mandatory experience working in an agile environment - Advantage Experience working with Atlassian products (jenkins/bitbucket/confluence) Advantage The position is intended for both women and men.
